:VID(string),idiom.pinyin:string
白黑分明,"['bai2', 'hei1', 'fen1', 'ming2']"
白虹贯日,"['bai2', 'hong2', 'guan4', 'ri4']"
白华之怨,"['bai2', 'hua2', 'zhi1', 'yuan4']"
白话八股,"['bai2', 'hua4', 'ba1', 'gu3']"
白袷蓝衫,"['bai2', 'jia2', 'lan2', 'shan1']"
白驹过隙,"['bai2', 'ju1', 'guo4', 'xi4']"
白驹空谷,"['bai2', 'ju1', 'kong1', 'gu3']"
白蜡明经,"['bai2', 'la4', 'ming2', 'jing1']"
白浪掀天,"['bai2', 'lang4', 'xian1', 'tian1']"
白龙鱼服,"['bai2', 'long2', 'yu2', 'fu2']"
白旄黄钺,"['bai2', 'mao2', 'huang2', 'yue4']"
白眉赤眼,"['bai2', 'mei2', 'chi4', 'yan3']"
白面儒冠,"['bai2', 'mian4', 'ru2', 'guan1']"
白面儒生,"['bai2', 'mian4', 'ru2', 'sheng1']"
白面书郎,"['bai2', 'mian4', 'shu1', 'lang2']"
白面书生,"['bai2', 'mian4', 'shu1', 'sheng1']"
白帢青衫,"['bai2', 'jia2', 'qing1', 'shan1']"
白日飞升,"['bai2', 'ri4', 'fei1', 'sheng1']"
白日见鬼,"['bai2', 'ri4', 'jian4', 'gui3']"
白日青天,"['bai2', 'ri4', 'qing1', 'tian1']"
白日上升,"['bai2', 'ri4', 'shang4', 'sheng1']"
白日升天,"['bai2', 'ri4', 'sheng1', 'tian1']"
白日绣衣,"['bai2', 'ri4', 'xiu4', 'yi1']"
白日衣绣,"['bai2', 'ri4', 'yi4', 'xiu4']"
白日作梦,"['bai2', 'ri4', 'zuo4', 'meng4']"
白日做梦,"['bai2', 'ri4', 'zuo4', 'meng4']"
白色恐怖,"['bai2', 'se4', 'kong3', 'bu4']"
白山黑水,"['bai2', 'shan1', 'hei1', 'shui3']"
白手成家,"['bai2', 'shou3', 'cheng2', 'jia1']"
白手空拳,"['bai2', 'shou3', 'kong1', 'quan2']"
白手起家,"['bai2', 'shou3', 'qi3', 'jia1']"
白手兴家,"['bai2', 'shou3', 'xing1', 'jia1']"
白首北面,"['bai2', 'shou3', 'bei3', 'mian4']"
白首不渝,"['bai2', 'shou3', 'bu4', 'yu2']"
白首空归,"['bai2', 'shou3', 'kong1', 'gui1']"
白首齐眉,"['bai2', 'shou3', 'qi2', 'mei2']"
白首穷经,"['bai2', 'shou3', 'qiong2', 'jing1']"
白首如新,"['bai2', 'shou3', 'ru2', 'xin1']"
白首同归,"['bai2', 'shou3', 'tong2', 'gui1']"
白首为郎,"['bai2', 'shou3', 'wei2', 'lang2']"
白首相知,"['bai2', 'shou3', 'xiang1', 'zhi1']"
白首相庄,"['bai2', 'shou3', 'xiang1', 'zhuang1']"
白首一节,"['bai2', 'shou3', 'yi1', 'jie2']"
白首之心,"['bai2', 'shou3', 'zhi1', 'xin1']"
白水鉴心,"['bai2', 'shui3', 'jian4', 'xin1']"
白叟黄童,"['bai2', 'sou3', 'huang2', 'tong2']"
白天见鬼,"['bai2', 'tian1', 'jian4', 'gui3']"
白头不终,"['bai2', 'tou2', 'bu4', 'zhong1']"
白头到老,"['bai2', 'tou2', 'dao4', 'lao3']"
白头而新,"['bai2', 'tou2', 'er2', 'xin1']"
白头如新,"['bai2', 'tou2', 'ru2', 'xin1']"
白头相并,"['bai2', 'tou2', 'xiang1', 'bing4']"
白头相守,"['bai2', 'tou2', 'xiang1', 'shou3']"
白头偕老,"['bai2', 'tou2', 'xie2', 'lao3']"
白头之叹,"['bai2', 'tou2', 'zhi1', 'tan4']"
白兔赤乌,"['bai2', 'tu4', 'chi4', 'wu1']"
白往黑来,"['bai2', 'wang3', 'hei1', 'lai2']"
白屋寒门,"['bai2', 'wu1', 'han2', 'men2']"
白屋之士,"['bai2', 'wu1', 'zhi1', 'shi4']"
白雪皑皑,"['bai2', 'xue3', 'ai2', 'ai2']"
白雪难和,"['bai2', 'xue3', 'nan2', 'he2']"
白雪阳春,"['bai2', 'xue3', 'yang2', 'chun1']"
白眼相看,"['bai2', 'yan3', 'xiang1', 'kan4']"
白衣苍狗,"['bai2', 'yi1', 'cang1', 'gou3']"
白衣公卿,"['bai2', 'yi1', 'gong1', 'qing1']"
白衣卿相,"['bai2', 'yi1', 'qing1', 'xiang4']"
白衣秀士,"['bai2', 'yi1', 'xiu4', 'shi4']"
白衣宰相,"['bai2', 'yi1', 'zai3', 'xiang4']"
白蚁争穴,"['bai2', 'yi3', 'zheng1', 'xue2']"
白鱼赤乌,"['bai2', 'yu2', 'chi4', 'wu1']"
白鱼登舟,"['bai2', 'yu2', 'deng1', 'zhou1']"
白鱼入舟,"['bai2', 'yu2', 'ru4', 'zhou1']"
白玉微瑕,"['bai2', 'yu4', 'wei1', 'xia2']"
白玉无瑕,"['bai2', 'yu4', 'wu2', 'xia2']"
白云苍狗,"['bai2', 'yun2', 'cang1', 'gou3']"
白云孤飞,"['bai2', 'yun2', 'gu1', 'fei1']"
白云亲舍,"['bai2', 'yun2', 'qin1', 'she4']"
白纸黑字,"['bai2', 'zhi3', 'hei1', 'zi4']"
百般刁难,"['bai3', 'ban1', 'diao1', 'nan4']"
百般奉承,"['bai3', 'ban1', 'feng4', 'cheng2']"
百般抚慰,"['bai3', 'ban1', 'fu3', 'wei4']"
百般折磨,"['bai3', 'ban1', 'zhe2', 'mo2']"
百宝万货,"['bai3', 'bao3', 'wan4', 'huo4']"
百弊丛生,"['bai3', 'bi4', 'cong2', 'sheng1']"
百不当一,"['bai3', 'bu4', 'dang1', 'yi1']"
百不获一,"['bai3', 'bu4', 'huo4', 'yi1']"
百不失一,"['bai3', 'bu4', 'shi1', 'yi1']"
百不一存,"['bai3', 'bu4', 'yi1', 'cun2']"
百不一贷,"['bai3', 'bu4', 'yi1', 'dai4']"
百不一遇,"['bai3', 'bu4', 'yi1', 'yu4']"
百步穿杨,"['bai3', 'bu4', 'chuan1', 'yang2']"
百城之富,"['bai3', 'cheng2', 'zhi1', 'fu4']"
百尺竿头,"['bai3', 'chi3', 'gan1', 'tou2']"
百尺无枝,"['bai3', 'chi3', 'wu2', 'zhi1']"
百川朝海,"['bai3', 'chuan1', 'chao2', 'hai3']"
百川赴海,"['bai3', 'chuan1', 'fu4', 'hai3']"
百川归海,"['bai3', 'chuan1', 'gui1', 'hai3']"
百辞莫辩,"['bai3', 'ci2', 'mo4', 'bian4']"
百代过客,"['bai3', 'dai4', 'guo4', 'ke4']"
百代文宗,"['bai3', 'dai4', 'wen2', 'zong1']"
百读不厌,"['bai3', 'du2', 'bu4', 'yan4']"
百堵皆作,"['bai3', 'du3', 'jie1', 'zuo4']"
百端待举,"['bai3', 'duan1', 'dai4', 'ju3']"
百端交集,"['bai3', 'duan1', 'jiao1', 'ji2']"
百堕俱举,"['bai3', 'hui1', 'ju4', 'ju3']"
百二关河,"['bai3', 'er4', 'guan1', 'he2']"
百二河山,"['bai3', 'er4', 'he2', 'shan1']"
百二金瓯,"['bai3', 'er4', 'jin1', 'ou1']"
百二山川,"['bai3', 'er4', 'shan1', 'chuan1']"
百二山河,"['bai3', 'er4', 'shan1', 'he2']"
百发百中,"['bai3', 'fa1', 'bai3', 'zhong4']"
百凡待举,"['bai3', 'fan2', 'dai4', 'ju3']"
百废待举,"['bai3', 'fei4', 'dai4', 'ju3']"
百废待兴,"['bai3', 'fei4', 'dai4', 'xing1']"
百废具举,"['bai3', 'fei4', 'ju4', 'ju3']"
百废具兴,"['bai3', 'fei4', 'ju4', 'xing1']"
百废具作,"['bai3', 'fei4', 'ju4', 'zuo4']"
百废俱举,"['bai3', 'fei4', 'ju4', 'ju3']"
百废俱兴,"['bai3', 'fei4', 'ju4', 'xing1']"
百废咸举,"['bai3', 'fei4', 'xian2', 'ju3']"
百福具臻,"['bai3', 'fu2', 'ju4', 'zhen1']"
百感交集,"['bai3', 'gan3', 'jiao1', 'ji2']"
百怪千奇,"['bai3', 'guai4', 'qian1', 'qi2']"
百鬼众魅,"['bai3', 'gui3', 'zhong4', 'mei4']"
百花齐放,"['bai3', 'hua1', 'qi2', 'fang4']"
百花生日,"['bai3', 'hua1', 'sheng1', 'ri4']"
百花争妍,"['bai3', 'hua1', 'zheng1', 'yan4']"
百花争艳,"['bai3', 'hua1', 'zheng1', 'yan4']"
百卉千葩,"['bai3', 'hui4', 'qian1', 'pa1']"
百喙莫辩,"['bai3', 'hui4', 'mo4', 'bian4']"
百喙难辩,"['bai3', 'hui4', 'nan2', 'bian4']"
百喙难辞,"['bai3', 'hui4', 'nan2', 'ci2']"
百喙如一,"['bai3', 'hui4', 'ru2', 'yi1']"
百喙一词,"['bai3', 'hui4', 'yi1', 'ci2']"
百计千方,"['bai3', 'ji4', 'qian1', 'fang1']"
百计千谋,"['bai3', 'ji4', 'qian1', 'mou2']"
百计千心,"['bai3', 'ji4', 'qian1', 'xin1']"
百家争鸣,"['bai3', 'jia1', 'zheng1', 'ming2']"
百结愁肠,"['bai3', 'jie2', 'chou2', 'chang2']"
百结悬鹑,"['bai3', 'jie2', 'xuan2', 'chun2']"
百举百捷,"['bai3', 'ju3', 'bai3', 'jie2']"
百举百全,"['bai3', 'ju3', 'bai3', 'quan2']"
百孔千疮,"['bai3', 'kong3', 'qian1', 'chuang1']"
百孔千创,"['bai3', 'kong3', 'qian1', 'chuang1']"
百口莫辩,"['bai3', 'kou3', 'mo4', 'bian4']"
百口难分,"['bai3', 'kou3', 'nan2', 'fen1']"
百口同声,"['bai3', 'kou3', 'tong2', 'sheng1']"
百里挑一,"['bai3', 'li3', 'tiao1', 'yi1']"
百里之才,"['bai3', 'li3', 'zhi1', 'cai2']"
百炼成刚,"['bai3', 'lian4', 'cheng2', 'gang1']"
百炼成钢,"['bai3', 'lian4', 'cheng2', 'gang1']"
百了千当,"['bai3', 'liao3', 'qian1', 'dang1']"
百伶百俐,"['bai3', 'ling2', 'bai3', 'li4']"
百龄眉寿,"['bai3', 'ling2', 'mei2', 'shou4']"
百虑一致,"['bai3', 'lv4', 'yi2', 'zhi4']"
百虑攒心,"['bai3', 'lv4', 'zan3', 'xin1']"
百媚千娇,"['bai3', 'mei4', 'qian1', 'jiao1']"
百密一疏,"['bai3', 'mi4', 'yi1', 'shu1']"
百谋千计,"['bai3', 'mou2', 'qian1', 'ji4']"
百年不遇,"['bai3', 'nian2', 'bu4', 'yu4']"
百年大计,"['bai3', 'nian2', 'da4', 'ji4']"
百年大业,"['bai3', 'nian2', 'da4', 'ye4']"
百年好合,"['bai3', 'nian2', 'hao3', 'he2']"
百年好事,"['bai3', 'nian2', 'hao3', 'shi4']"
百年难遇,"['bai3', 'nian2', 'nan2', 'yu4']"
百年树人,"['bai3', 'nian2', 'shu4', 'ren2']"
百年偕老,"['bai3', 'nian2', 'xie2', 'lao3']"
百年谐老,"['bai3', 'nian2', 'xie2', 'lao3']"
百年之柄,"['bai3', 'nian2', 'zhi1', 'bing3']"
百年之好,"['bai3', 'nian2', 'zhi1', 'hao3']"
百年之后,"['bai3', 'nian2', 'zhi1', 'hou4']"
百年之业,"['bai3', 'nian2', 'zhi1', 'ye4']"
百年之约,"['bai3', 'nian2', 'zhi1', 'yue1']"
百念皆灰,"['bai3', 'nian4', 'jie1', 'hui1']"
百鸟朝凤,"['bai3', 'niao3', 'chao2', 'feng4']"
百品千条,"['bai3', 'pin3', 'qian1', 'tiao2']"
百巧成穷,"['bai3', 'qiao3', 'cheng2', 'qiong2']"
百巧千穷,"['bai3', 'qiao3', 'qian1', 'qiong2']"
百忍成金,"['bai3', 'ren3', 'cheng2', 'jin1']"
百舌之声,"['bai3', 'she2', 'zhi1', 'sheng1']"
百舍重茧,"['bai3', 'she4', 'chong2', 'jian3']"
百舍重趼,"['bai3', 'she4', 'chong2', 'jian3']"
百身何赎,"['bai3', 'shen1', 'he2', 'shu2']"
百身莫赎,"['bai3', 'shen1', 'mo4', 'shu2']"
百世不磨,"['bai3', 'shi4', 'bu4', 'mo2']"
百世不易,"['bai3', 'shi4', 'bu4', 'yi4']"
百世流芳,"['bai3', 'shi4', 'liu2', 'fang1']"
百世流芬,"['bai3', 'shi4', 'liu2', 'fen1']"
百世一人,"['bai3', 'shi4', 'yi1', 'ren2']"
百世之利,"['bai3', 'shi4', 'zhi1', 'li4']"
百世之师,"['bai3', 'shi4', 'zhi1', 'shi1']"
百事大吉,"['bai3', 'shi4', 'da4', 'ji2']"
百事无成,"['bai3', 'shi4', 'wu2', 'cheng2']"
百兽率舞,"['bai3', 'shou4', 'shuai4', 'wu3']"
百顺百依,"['bai3', 'shun4', 'bai3', 'yi1']"
百顺千随,"['bai3', 'shun4', 'qian1', 'sui2']"
百思不解,"['bai3', 'si1', 'bu4', 'jie3']"
百思莫解,"['bai3', 'si1', 'mo4', 'jie3']"
百死一生,"['bai3', 'si3', 'yi1', 'sheng1']"
百岁千秋,"['bai3', 'sui4', 'qian1', 'qiu1']"
百岁之好,"['bai3', 'sui4', 'zhi1', 'hao3']"
百岁之后,"['bai3', 'sui4', 'zhi1', 'hou4']"
百岁之盟,"['bai3', 'sui4', 'zhi1', 'meng2']"
百万雄兵,"['bai3', 'wan4', 'xiong2', 'bing1']"
百万雄师,"['bai3', 'wan4', 'xiong2', 'shi1']"
百无禁忌,"['bai3', 'wu2', 'jin4', 'ji4']"
百无聊赖,"['bai3', 'wu2', 'liao2', 'lai4']"
百无是处,"['bai3', 'wu2', 'shi4', 'chu4']"
百无所成,"['bai3', 'wu2', 'suo3', 'cheng2']"
百无一成,"['bai3', 'wu2', 'yi4', 'cheng2']"
百无一堪,"['bai3', 'wu2', 'yi1', 'kan1']"
百无一能,"['bai3', 'wu2', 'yi1', 'neng2']"
百无一失,"['bai3', 'wu2', 'yi1', 'shi1']"
百无一是,"['bai3', 'wu2', 'yi1', 'shi4']"
百无一用,"['bai3', 'wu2', 'yi1', 'yong4']"
百下百全,"['bai3', 'xia4', 'bai3', 'quan2']"
百下百着,"['bai3', 'xia4', 'bai3', 'zhao2']"
百业萧条,"['bai3', 'ye4', 'xiao1', 'tiao2']"
百衣百随,"['bai3', 'yi1', 'bai3', 'sui2']"
百依百从,"['bai3', 'yi1', 'bai3', 'cong2']"
百依百顺,"['bai3', 'yi1', 'bai3', 'shun4']"
百依百随,"['bai3', 'yi1', 'bai3', 'sui2']"
百载树人,"['bai3', 'zai3', 'shu4', 'ren2']"
百战百败,"['bai3', 'zhan4', 'bai3', 'bai4']"
百战百胜,"['bai3', 'zhan4', 'bai3', 'sheng4']"
百战不殆,"['bai3', 'zhan4', 'bu4', 'dai4']"
百丈竿头,"['bai3', 'zhang4', 'gan1', 'tou2']"
百折不摧,"['bai3', 'zhe2', 'bu4', 'cui1']"
百折不回,"['bai3', 'zhe2', 'bu4', 'hui2']"
百折不挠,"['bai3', 'zhe2', 'bu4', 'nao2']"
百折不屈,"['bai3', 'zhe2', 'bu4', 'qu1']"
百折不移,"['bai3', 'zhe2', 'bu4', 'yi2']"
百折千回,"['bai3', 'zhe2', 'qian1', 'hui2']"
百中百发,"['bai3', 'zhong4', 'bai3', 'fa1']"
百啭千声,"['bai3', 'zhuan4', 'qian1', 'sheng1']"
百拙千丑,"['bai3', 'zhuo1', 'qian1', 'chou3']"
百紫千红,"['bai3', 'zi3', 'qian1', 'hong2']"
百纵千随,"['bai3', 'zong4', 'qian1', 'sui2']"
百足不僵,"['bai3', 'zu2', 'bu4', 'jiang1']"
百足之虫,"['bai3', 'zu2', 'zhi1', 'chong2']"
柏舟之节,"['bai3', 'zhou1', 'zhi1', 'jie2']"
柏舟之誓,"['bai3', 'zhou1', 'zhi1', 'shi4']"
捭阖纵横,"['bai3', 'he2', 'zong4', 'heng2']"
摆尾摇头,"['bai3', 'wei3', 'yao2', 'tou2']"
摆袖却金,"['bai4', 'xiu4', 'que4', 'jin1']"
败不旋踵,"['bai4', 'bu4', 'xuan2', 'zhong3']"
败材伤锦,"['bai4', 'cai2', 'shang1', 'jin3']"
败德辱行,"['bai4', 'de2', 'ru3', 'xing2']"
败法乱纪,"['bai4', 'fa3', 'luan4', 'ji4']"
败鼓之皮,"['bai4', 'gu3', 'zhi1', 'pi2']"
败国丧家,"['bai4', 'guo2', 'sang4', 'jia1']"
败国亡家,"['bai4', 'guo2', 'wang2', 'jia1']"
败化伤风,"['bai4', 'hua4', 'shang1', 'feng1']"
败绩失据,"['bai4', 'ji4', 'shi1', 'ju4']"
败将残兵,"['bai4', 'jiang4', 'can2', 'bing1']"
败井颓垣,"['bai4', 'jing3', 'tui2', 'yuan2']"
败军之将,"['bai4', 'jun1', 'zhi1', 'jiang4']"
败鳞残甲,"['bai4', 'lin2', 'can2', 'jia3']"
败柳残花,"['bai4', 'liu3', 'can2', 'hua1']"
败俗伤风,"['bai4', 'su2', 'shang1', 'feng1']"
败俗伤化,"['bai4', 'su2', 'shang1', 'hua4']"
败兴而归,"['bai4', 'xing4', 'er2', 'gui1']"
败于垂成,"['bai4', 'yu2', 'chui2', 'cheng2']"
拜赐之师,"['bai4', 'ci4', 'zhi1', 'shi1']"
拜倒辕门,"['bai4', 'dao3', 'yuan2', 'men2']"
拜恩私室,"['bai4', 'en1', 'si1', 'shi4']"
拜鬼求神,"['bai4', 'gui3', 'qiu2', 'shen2']"
拜将封侯,"['bai4', 'jiang4', 'feng1', 'hou2']"
稗官小说,"['bai4', 'guan1', 'xiao3', 'shuo1']"
稗官野史,"['bai4', 'guan1', 'ye3', 'shi3']"
扳龙附凤,"['ban1', 'long2', 'fu4', 'feng4']"
班班可考,"['ban1', 'ban1', 'ke3', 'kao3']"
班驳陆离,"['ban1', 'bo2', 'lu4', 'li2']"
班功行赏,"['ban1', 'gong1', 'xing2', 'shang3']"
班荆道故,"['ban1', 'jing1', 'dao4', 'gu4']"
班荆道旧,"['ban1', 'jing1', 'dao4', 'jiu4']"
班马文章,"['ban1', 'ma3', 'wen2', 'zhang1']"
班门弄斧,"['ban1', 'men2', 'nong4', 'fu3']"
班师得胜,"['ban1', 'shi1', 'de2', 'sheng4']"
班师回朝,"['ban1', 'shi1', 'hui2', 'chao2']"
班师回俯,"['ban1', 'shi1', 'hui2', 'fu3']"
班香宋艳,"['ban1', 'xiang1', 'song4', 'yan4']"
班衣戏采,"['ban1', 'yi1', 'xi4', 'cai3']"
班衣戏彩,"['ban1', 'yi1', 'xi4', 'cai3']"
斑驳陆离,"['ban1', 'bo2', 'lu4', 'li2']"
斑衣戏彩,"['ban1', 'yi1', 'xi4', 'cai3']"
搬唇递舌,"['ban1', 'chun2', 'di4', 'she2']"
搬唇弄舌,"['ban1', 'chun2', 'nong4', 'she2']"
搬斤播两,"['ban1', 'jin1', 'bo1', 'liang3']"
搬口弄舌,"['ban1', 'kou3', 'nong4', 'she2']"
搬弄是非,"['ban1', 'nong4', 'shi4', 'fei1']"
搬石砸脚,"['ban1', 'shi2', 'za2', 'jiao3']"
阪上走丸,"['ban3', 'shang4', 'zou3', 'wan2']"
板上钉钉,"['ban3', 'shang4', 'ding4', 'ding1']"
板上砸钉,"['ban3', 'shang4', 'za2', 'ding1']"
版筑饭牛,"['ban3', 'zhu4', 'fan4', 'niu2']"
半半拉拉,"['ban4', 'ban4', 'la1', 'la1']"
半半路路,"['ban4', 'ban4', 'lu4', 'lu4']"
半壁河山,"['ban4', 'bi4', 'he2', 'shan1']"
半壁江山,"['ban4', 'bi4', 'jiang1', 'shan1']"
半壁山河,"['ban4', 'bi4', 'shan1', 'he2']"
半部论语,"['ban4', 'bu4', 'lun2', 'yu3']"
半痴不颠,"['ban4', 'chi1', 'bu4', 'dian1']"
半筹不纳,"['ban4', 'chou2', 'bu4', 'na4']"
半筹莫展,"['ban4', 'chou2', 'mo4', 'chan3']"
半低不高,"['ban4', 'di1', 'bu4', 'gao1']"
半懂不懂,"['ban4', 'dong3', 'bu4', 'dong3']"
半饥半饱,"['ban4', 'ji1', 'ban4', 'bao3']"
半间半界,"['ban4', 'gan1', 'ban4', 'ga4']"
半间不界,"['ban4', 'gan1', 'bu4', 'ga4']"
半截入土,"['ban4', 'jie2', 'ru4', 'tu3']"
半解一知,"['ban4', 'jie3', 'yi1', 'zhi1']"
半斤八两,"['ban4', 'jin1', 'ba1', 'liang3']"
半斤八面,"['ban4', 'jin1', 'ba1', 'mian4']"
半路出家,"['ban4', 'lu4', 'chu1', 'jia1']"
半路修行,"['ban4', 'lu4', 'xiu1', 'xing2']"
半梦半醒,"['ban4', 'meng4', 'ban4', 'xing3']"
半面不忘,"['ban4', 'mian4', 'bu4', 'wang4']"
半面之交,"['ban4', 'mian4', 'zhi1', 'jiao1']"
半面之旧,"['ban4', 'mian4', 'zhi1', 'jiu4']"
半青半黄,"['ban4', 'qing1', 'ban4', 'huang2']"
半三不四,"['ban4', 'san1', 'bu4', 'si4']"
半上半下,"['ban4', 'shang4', 'ban4', 'xia4']"
半上落下,"['ban4', 'shang4', 'luo4', 'xia4']"
半身不遂,"['ban4', 'shen1', 'bu4', 'sui2']"
半生半熟,"['ban4', 'sheng1', 'ban4', 'shu2']"
半生不熟,"['ban4', 'sheng1', 'bu4', 'shu2']"
半丝半缕,"['ban4', 'si1', 'ban4', 'lv4']"
半死半生,"['ban4', 'si3', 'ban4', 'sheng1']"
半死不活,"['ban4', 'si3', 'bu4', 'huo2']"
半死辣活,"['ban4', 'si3', 'la4', 'huo2']"
半涂而罢,"['ban4', 'tu2', 'er2', 'ba4']"
半涂而废,"['ban4', 'tu2', 'er2', 'fei4']"
半途而废,"['ban4', 'tu2', 'er2', 'fei4']"
半吐半露,"['ban4', 'tu3', 'ban4', 'lu4']"
半推半就,"['ban4', 'tui1', 'ban4', 'jiu4']"
半吞半吐,"['ban4', 'tun1', 'ban4', 'tu3']"
半文半白,"['ban4', 'wen2', 'ban4', 'bai2']"
半文不白,"['ban4', 'wen2', 'bu4', 'bai2']"
半新半旧,"['ban4', 'xin1', 'ban4', 'jiu4']"
半新不旧,"['ban4', 'xin1', 'bu4', 'jiu4']"
半信半疑,"['ban4', 'xin4', 'ban4', 'yi2']"
半信不信,"['ban4', 'xin4', 'bu4', 'xin4']"
半夜三更,"['ban4', 'ye4', 'san1', 'geng1']"
半疑半信,"['ban4', 'yi2', 'ban4', 'xin4']"
半真半假,"['ban4', 'zhen1', 'ban4', 'jia3']"
伴食宰相,"['ban4', 'shi2', 'zai3', 'xiang4']"
伴食中书,"['ban4', 'shi2', 'zhong1', 'shu1']"
邦国殄瘁,"['bang1', 'guo2', 'tian3', 'cui4']"
帮狗吃食,"['bang1', 'gou3', 'chi1', 'shi2']"
帮虎吃食,"['bang1', 'hu3', 'chi1', 'shi2']"
帮闲钻懒,"['bang1', 'xian2', 'zuan1', 'lan3']"
榜上无名,"['bang3', 'shang4', 'wu2', 'ming2']"
蚌病成珠,"['bang4', 'bing4', 'cheng2', 'zhu1']"
蚌病生珠,"['bang4', 'bing4', 'sheng1', 'zhu1']"
蚌鹬相持,"['bang4', 'yu4', 'xiang1', 'chi2']"
傍观冷眼,"['bang4', 'guan1', 'leng3', 'yan3']"
傍观者清,"['bang4', 'guan1', 'zhe3', 'qing1']"
傍花随柳,"['bang4', 'hua1', 'sui2', 'liu3']"
傍人篱壁,"['bang4', 'ren2', 'li2', 'bi4']"
傍人篱落,"['bang4', 'ren2', 'li2', 'luo4']"
傍人门户,"['bang4', 'ren2', 'men2', 'hu4']"
傍若无人,"['pang2', 'ruo4', 'wu2', 'ren2']"
棒打鸳鸯,"['bang4', 'da3', 'yuan1', 'yang1']"
徬徨失措,"['pang2', 'huang2', 'shi1', 'cuo4']"
包办代替,"['bao1', 'ban4', 'dai4', 'ti4']"
包藏祸心,"['bao1', 'cang2', 'huo4', 'xin1']"
包藏奸心,"['bao1', 'cang2', 'jian1', 'xin1']"
包打天下,"['bao1', 'da3', 'tian1', 'xia4']"
包举宇内,"['bao1', 'ju3', 'yu3', 'nei4']"
包揽词讼,"['bao1', 'lan3', 'ci2', 'song4']"
包罗万象,"['bao1', 'luo2', 'wan4', 'xiang4']"
包罗万有,"['bao1', 'luo2', 'wan4', 'you3']"
包羞忍耻,"['bao1', 'xiu1', 'ren3', 'chi3']"
苞苴竿牍,"['bao1', 'ju1', 'gan1', 'du2']"
褒贬与夺,"['bao3', 'bian3', 'yu3', 'duo2']"
褒善贬恶,"['bao1', 'shan4', 'bian3', 'e4']"
褒衣博带,"['bao1', 'yi1', 'bo2', 'dai4']"
褒衣危冠,"['bao1', 'yi1', 'wei1', 'guan1']"
宝刀不老,"['bao3', 'dao1', 'bu4', 'lao3']"
宝刀未老,"['bao3', 'dao1', 'wei4', 'lao3']"
宝马香车,"['bao3', 'ma3', 'xiang1', 'che1']"
宝山空回,"['bao3', 'shan1', 'kong1', 'hui2']"
宝珠市饼,"['bao3', 'zhu1', 'shi4', 'bing3']"
饱谙世故,"['bao3', 'an1', 'shi4', 'gu4']"
饱经沧桑,"['bao3', 'jing1', 'cang1', 'sang1']"
饱经风霜,"['bao3', 'jing1', 'feng1', 'shuang1']"
饱经风雨,"['bao3', 'jing1', 'feng1', 'yu3']"
饱经世变,"['bao3', 'jing1', 'shi4', 'bian4']"
饱经世故,"['bao3', 'jing1', 'shi4', 'gu4']"
饱经霜雪,"['bao3', 'jing1', 'shuang1', 'xue3']"
饱经忧患,"['bao3', 'jing1', 'you1', 'huan4']"
饱练世故,"['bao3', 'lian4', 'shi4', 'gu4']"
饱食暖衣,"['bao3', 'shi2', 'nuan3', 'yi1']"
饱食终日,"['bao3', 'shi2', 'zhong1', 'ri4']"
饱飨老拳,"['bao3', 'xiang3', 'lao4', 'quan2']"
饱学之士,"['bao3', 'xue2', 'zhi1', 'shi4']"
饱以老拳,"['bao3', 'yi3', 'lao3', 'quan2']"
保残守缺,"['bao3', 'can2', 'shou3', 'que1']"
保国安民,"['bao3', 'guo2', 'an1', 'min2']"
保家卫国,"['bao3', 'jia1', 'wei4', 'guo2']"
保境息民,"['bao3', 'jing4', 'xi1', 'min2']"
保泰持盈,"['bao3', 'tai4', 'chi4', 'ying2']"
保盈持泰,"['bao3', 'ying2', 'chi4', 'tai4']"
报本反始,"['bao4', 'ben3', 'fan3', 'shi3']"
报冰公事,"['bao4', 'bing1', 'gong1', 'shi4']"
报仇雪耻,"['bao4', 'chou2', 'xue3', 'chi3']"
报仇雪恨,"['bao4', 'chou2', 'xue3', 'hen4']"
报雠雪恨,"['bao4', 'chou2', 'xue3', 'hen4']"
报李投桃,"['bao4', 'li3', 'tou2', 'tao2']"
报效万一,"['bao4', 'xiao4', 'wan4', 'yi1']"
报应不爽,"['bao4', 'ying4', 'bu4', 'shuang3']"
抱宝怀珍,"['bao4', 'bao3', 'huai2', 'zhen1']"
抱表寝绳,"['bao4', 'biao3', 'qin3', 'sheng2']"
抱冰公事,"['bao4', 'bing1', 'gong1', 'shi4']"
抱布贸丝,"['bao4', 'bu4', 'mao4', 'si1']"
抱残守缺,"['bao4', 'can2', 'shou3', 'que1']"
抱残守阙,"['bao4', 'can2', 'shou3', 'que1']"
抱成一团,"['bao4', 'cheng2', 'yi1', 'tuan2']"
抱诚守真,"['bao4', 'cheng2', 'shou3', 'zhen1']"
抱打不平,"['bao4', 'da3', 'bu4', 'ping2']"
抱法处势,"['bao4', 'fa3', 'chu3', 'shi4']"
抱负不凡,"['bao4', 'fu4', 'bu4', 'fan2']"
抱关击柝,"['bao4', 'guan1', 'ji1', 'tuo4']"
抱关执钥,"['bao4', 'guan1', 'zhi2', 'yue4']"
抱关执籥,"['bao4', 'guan1', 'zhi2', 'yue4']"
抱恨黄泉,"['bao4', 'hen4', 'huang2', 'quan2']"
抱恨终天,"['bao4', 'hen4', 'zhong1', 'tian1']"
抱火厝薪,"['bao4', 'huo3', 'cuo4', 'xin1']"
